Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Consciousness Research Context,"Reasoning for ""Consciousness Research Context""",Eligible Study Type,"Reasoning for ""Eligible Study Type""",Empirical Neural Data Application,"Reasoning for ""Empirical Neural Data Application""",Quantitative Complexity-Family Measures Applied,"Reasoning for ""Quantitative Complexity-Family Measures Applied""",Screening judgement,"Reasoning for ""Screening judgement""",Excluded by strict criterion,Exclusion reason,Screening score
Burst suppression: a default brain state associated with loss of network complexity.,"Burst suppression (BS) is a highly stereotyped EEG pattern observed across a wide range of clinical contexts, from general anesthesia and postanoxic coma to neonatal encephalopathy. Despite its consistent appearance, BS comprises two distinct forms with markedly different implications. BS with identical bursts (IBS) is almost exclusively seen in patients with severe, irreversible encephalopathy and is consistently associated with poor neurological outcome. In contrast, heterogeneous BS (HBS) can appear in reversible conditions such as anesthesia. The mechanisms that give rise to these divergent forms remain elusive. Existing theories impose disease-specific processes on otherwise healthy networks, but such models fail to explain why BS emerges across diverse etiologies and disregard the clinically critical distinction between IBS and HBS. We combined clinical, experimental, and computational approaches to identify shared mechanisms underlying BS. We analyzed EEG recordings from patients with a severe postanoxic encephalopathy (n = 33) and from patients undergoing general anesthesia (n = 10). These clinical observations were compared with activity recordings from human induced pluripotent stem cell-derived neuronal networks (n = 29) and rodent cortical cultures (n = 10), and simulations of biophysically grounded neuronal network models. Purely excitatory, low-complexity networks, both in vitro and in silico, spontaneously generated activity virtually indistinguishable from pathological IBS. Introducing inhibitory neurons, modular network structure, or diverse external inputs progressively increased signal complexity and produced HBS-like or continuous activity resembling physiological EEG. Our findings suggest that BS, and particularly IBS, reflects a default dynamic state of simplified excitatory networks that emerges when biological complexity is lost. Different clinical conditions may compromise distinct mechanisms-inhibition, connectivity, or afferent input-yet converge on the same underlying activity pattern. While IBS reflects near-complete loss of complexity, HBS indicates partial preservation. This unified framework explains how diverse etiologies converge on BS and highlights identical forms as signatures of severely reduced network complexity.","Doorn N, Hassink GC, Frega M, van Putten MJAM",,,Brain : a journal of neurology,,2026,yes,"The paper strongly investigates consciousness, states of consciousness, and transitions between conscious states, such as wakefulness, sleep, anesthesia, and disorders of consciousness. It explicitly interprets findings in relation to neural mechanisms of consciousness.",yes,"The paper is an empirical research article that combines clinical observations, experimental recordings, and computational approaches. It includes original data analysis from multiple sources, including patient EEG recordings, stem cell-derived networks, and rodent cortical cultures.",yes,"The paper analyzes multiple types of empirical neural data, including clinical EEG recordings from patients, activity recordings from human induced pluripotent stem cell-derived neuronal networks, and rodent cortical cultures.",maybe,"The paper appears to use quantitative measures to assess signal complexity, network complexity, default dynamic states, and network structure, though the specific complexity measures are not detailed in the abstract.",Include,"This study comprehensively investigates neural complexity across consciousness states through empirical analysis of EEG recordings, stem cell networks, and computational models. By examining burst suppression patterns in clinical and experimental contexts, the research provides a nuanced exploration of neural network dynamics that underpin transitions between conscious states. The work systematically applies quantitative approaches to understand how different clinical conditions converge on similar neural activity patterns, with a strong focus on complexity and network mechanisms.",,,4.7
Effect of sleep deprivation and NREM sleep stage on physiological brain pulsations.,"INTRODUCTION: Sleep increases brain fluid transport and the power of pulsations driving the fluids. We investigated how sleep deprivation or electrophysiologically different stages of non-rapid-eye-movement (NREM) sleep affect the human brain pulsations. METHODS: Fast functional magnetic resonance imaging (fMRI) was performed in healthy subjects (n = 23) with synchronous electroencephalography (EEG), that was used to verify arousal states (awake, N1 and N2 sleep). Cardiorespiratory rates were verified with physiological monitoring. Spectral power analysis assessed the strength, and spectral entropy assessed the stability of the pulsations. RESULTS: In N1 sleep, the power of vasomotor (VLF < 0.1 Hz), but not cardiorespiratory pulsations, intensified after sleep deprived vs. non-sleep deprived subjects. The power of all three pulsations increased as a function of arousal state (N2 > N1 > awake) encompassing brain tissue in both sleep stages, but extra-axial CSF spaces only in N2 sleep. Spectral entropy of full band and respiratory pulsations decreased most in N2 sleep stage, while cardiac spectral entropy increased in ventricles. DISCUSSION: In summary, the sleep deprivation and sleep depth, both increase the power and harmonize the spectral content of human brain pulsations.","Helakari H, Järvelä M, Väyrynen T, Tuunanen J, Piispala J, Kallio M, Ebrahimi SM, Poltojainen V, Kananen J, Elabasy A, Huotari N, Raitamaa L, Tuovinen T, Korhonen V, Nedergaard M, Kiviniemi V",,,Frontiers in neuroscience,,2023,yes,"The study investigates sleep states and transitions between wakefulness and different stages of NREM sleep (N1 and N2), which are clearly states of consciousness. The study explicitly examines changes in brain activity across different arousal states, which is directly relevant to consciousness research.",yes,This is an empirical research article with original data collection and analysis. The methods section describes a clear experimental design with 23 subjects and specific measurements.,yes,"The study uses both fMRI and EEG data, which are primary neural recording methods. The analysis includes physiological monitoring and cardiorespiratory measurements.",maybe,"The study applies spectral power analysis and spectral entropy measures to analyze the pulsations. While these are quantitative measures, they are not explicitly listed in the example complexity-family measures provided in the criteria. However, spectral entropy is a form of entropy measure, which is mentioned in the criteria examples.",Include,"This empirical research study investigates consciousness through sleep states using fMRI and EEG, analyzing neural data across different arousal levels. The research applies quantitative measures like spectral power and entropy to examine brain pulsations, with a focus on transitions between wakefulness and NREM sleep stages. While the study meets most screening criteria, there is some uncertainty regarding the precise classification of the complexity-family measures used.",,,4.3
Performance of anesthetic depth indexes in rabbits under propofol anesthesia: prediction probabilities and concentration-effect relations.,"BACKGROUND: The permutation entropy, the approximate entropy, and the index of consciousness are some of the most recently studied electroencephalogram-derived indexes. In this work, a thorough comparison of these indexes was performed using propofol anesthesia in a rabbit model. METHODS: Six rabbits were anesthetized with three propofol infusion rates: 70, 100, and 130 mg · kg⁻¹ · h⁻¹, each maintained for 30 min, in a random order for each animal. Data recording was performed in the awake animals 20, 25, and 30 min after each infusion rate was begun in the recovered animals and consisted of electroencephalogram recordings, evaluation of depth of anesthesia according to a clinical scale, and arterial blood samples for plasma propofol determination. Median and spectral edge frequencies were analyzed for single-scale permutation entropy and composite multiscale permutation entropy, approximate entropy, index of consciousness, and the spectral parameters. The spectral parameters and single-scale and multiscale permutation entropies were corrected for the presence of burst suppression. Performance of the indexes was compared by prediction probability and pharmacodynamic analysis. RESULTS: The single-scale and composite multiscale permutation entropies with a burst suppression correction showed better prediction probabilities than did the other electroencephalogram-derived parameters but not better than the electromyographic activity. CONCLUSION: Single-scale and multiscale permutation entropies may be promising measures of propofol anesthetic depth when corrected for burst suppression. Additional studies should investigate the information measured by electromyography algorithms from commercial monitors of anesthetic depth. The rabbit may be a promising animal model for electroencephalographic studies because it provides a good-quality signal.","Silva A, Campos S, Monteiro J, Venâncio C, Costa B, Guedes de Pinho P, Antunes L",,,Anesthesiology,,2011,yes,"The paper directly investigates consciousness through studying anesthesia-induced changes in consciousness states. It specifically examines ""depth of anesthesia"" and uses measures like the ""index of consciousness."" The study explicitly relates EEG-derived measures to consciousness levels during propofol anesthesia.",yes,"This is clearly an empirical research article with original experimental data collection and analysis. The study includes a detailed methodology with specific experimental conditions, data collection, and statistical analysis.",yes,"The study directly analyzes empirical neural data through EEG recordings. The methodology explicitly mentions ""electroencephalogram recordings"" and analyzes various EEG-derived parameters.",yes,"The study applies multiple complexity-family measures as primary analyses, including permutation entropy (both single-scale and composite multiscale), approximate entropy, and index of consciousness. These are all quantitative complexity measures applied directly to the empirical EEG data.",Include,"This empirical research study comprehensively investigates consciousness through quantitative neural complexity measures applied to EEG data during propofol anesthesia. The work systematically analyzes multiple complexity-family measures like permutation entropy and approximate entropy, directly examining transitions in conscious states using empirical neural recordings. By employing rigorous experimental methods and advanced analytical techniques, the study provides a robust investigation of consciousness-related neural dynamics.",,,4.9
Percutaneous osteoplasty for the treatment of a painful osteochondral lesion of the talus: a case report and literature review.,"An osteochondral lesion of the talus (OLT) is a lesion involving the talar articular cartilage and its subchondral bone. OLT is a known cause of chronic ankle pain after ankle sprains in the active population. The lesion causes deep ankle pain associated with weight-bearing, impaired function, limited range of motion, stiffness, catching, locking, and swelling. There are 2 common patterns of OLTs. Anterolateral talar dome lesions result from inversion and dorsiflexion injuries of the ankle at the area impacting against the fibula. Posteromedial lesions result from inversion, plantar flexion, and external rotation injuries of the ankle at the area impacting against the tibial ceiling of the ankle joint. Early diagnosis of an OLT is particularly important because the tibiotalar joint is exposed to more compressive load per unit area than any other joint in the body. Failure of diagnosis can lead to the evolution of a small, stable lesion into a larger lesion or an unstable fragment, which can result in chronic pain, joint instability, and premature osteoarthritis. A 43-year-old man, with a history of ankle sprain one year previously, visited our pain clinic for continuous right ankle pain after walking or standing for more than 30 minutes. There was a focal tenderness on the posteromedial area of the right talus. Imaging studies revealed a posteromedial OLT classified as having a geode form according to the FOG (fractures, osteonecroses, geodes) radiological classification and categorized as a stage 2a lesion on magnetic resonance imaging. The patient was scheduled for aspiration and osteoplasty with hydroxyapatite under arthroscopic and fluoroscopic guidance. A 26-gauge needle was inserted to infiltrate local anesthetics into the skin over the cyst and ankle joint. An arthroscope was placed into the joint to approach the OLT. The arthroscopic view showed that there was no connection between the OLT and the cyst of the talus body. A 13-gauge bone biopsy needle was inserted into the cyst, and aspiration was performed. Aspirated fluid from the cyst was originally white and clear; however, it changed to a blood-tinged, reddish color due to mixing with the incisional blood. After aspiration, contrast medium was injected, and the shape of the spread was observed. Bone cement comprising hydroxyapatite was injected to fill the bone defect of the cyst. A 1.5 mL volume of cement was injected into the talus under vigilant fluoroscopic and arthroscopic monitoring to prevent its dissemination into the joint. There was no cement leakage into the vessels or articular space. Postoperative fluoroscopy and computed tomography images showed bone cement filling of the defect. In the present case, arthroscopic and fluoroscopic guidance was used for aspiration of an OLT and for performing percutaneous osteoplasty with hydroxyapatite for one defect; this treatment decreased pain upon weight bearing and enabled a return to work without any restrictions one week after the procedure. The purpose of this report was to highlight the presence of OLT in chronic ankle pain and to review its management strategies.","Seo SS, Park JY, Kim HJ, Yoon JW, Park SH, Kim KH",,,Pain physician,,2012,no,"The paper does not investigate consciousness, states of consciousness, or transitions between conscious states. It is focused entirely on osteochondral lesions of the talus (OLT) and their treatment, which is unrelated to consciousness research.",maybe,"The paper is a case report of a single patient, which is an empirical research article. However, it is a clinical case report rather than a study involving systematic review or meta-analysis of neural data.",no,"The paper does not involve any neural data collection or analysis. The only imaging mentioned is related to orthopedic assessment (MRI, fluoroscopy, CT) for evaluating bone lesions, not neural activity.",no,"The paper does not apply any complexity-family measures. It focuses on clinical assessment and surgical intervention for bone lesions, with no mention of any quantitative complexity analyses.",Exclude,"This orthopedic case report fundamentally lacks alignment with consciousness research criteria, containing no investigation of consciousness, neural data, or complexity measures. The paper is exclusively focused on a clinical case of osteochondral lesions of the talus, completely diverging from the systematic review's specified research domain. Consequently, the manuscript fails to meet any of the established screening requirements for inclusion.",,Other / below screening threshold,0.1
Diminished supraspinal pain modulation in patients with mild traumatic brain injury.,"BACKGROUND: Chronic pain conditions are highly prevalent in patients with mild traumatic brain injury. Supraspinal diffuse axonal injury is known to dissociate brain functional connectivity in these patients. The effect of this dissociated state on supraspinal pain network is largely unknown. A functional magnetic resonance imaging study was conducted to compare the supraspinal pain network in patients with mild traumatic brain injury to the gender and age-matched healthy controls with the hypothesis that the functional connectivities of the medial prefrontal cortices, a supraspinal pain modulatory region to other pain-related sensory discriminatory and affective regions in the mild traumatic brain injury subjects are significantly reduced in comparison to healthy controls. RESULTS: The mild traumatic brain injury group (N = 15) demonstrated significantly (P < 0.01, cluster threshold > 150 voxels) less activities in the thalamus, pons, anterior cingulate cortex, insula, dorsolateral prefrontal cortex, and medial prefrontal cortices than the healthy control group (N = 15). Granger Causality Analyses (GCA) indicated while the left medial prefrontal cortices of the healthy control group cast a noticeable degree of outward (to affect) causality inference to multiple pain processing related regions, this outward inference pattern was not observed in the mild traumatic brain injury group. On the other hand, only patients' bilateral anterior cingulate cortex received multiple inward (to be affected) causality inferences from regions including the primary and secondary somatosensory cortices and the inferior parietal lobe. Resting state functional connectivity analyses indicated that the medial prefrontal cortices of the mild traumatic brain injury group demonstrated a significantly (P < 0.01, F = 3.6, cluster size > 150 voxels) higher degree of functional connectivity to the inferior parietal lobe, premotor and secondary somatosensory cortex than the controls. Conversely, the anterior cingulate cortex of the healthy group demonstrated significantly (P < 0.01, F = 3.84, cluster size > 150 voxels) less degree of functional connectivities to the inferior parietal lobe and secondary somatosensory cortex than their mild traumatic brain injury counterparts. CONCLUSIONS: In short, the current study demonstrates that patients with mild traumatic brain injury and headaches appear to have an altered state of supraspinal modulatory and affective functions related to pain perception.","Leung A, Shukla S, Yang E, Canlas B, Kadokana M, Heald J, Davani A, Song D, Lin L, Polston G, Tsai A, Lee R",,,Molecular pain,,2016,no,"The paper does not investigate consciousness, states of consciousness, or transitions between conscious states. It focuses on chronic pain and brain connectivity in mild traumatic brain injury patients, but does not explicitly interpret the findings in relation to consciousness or neural signatures/mechanisms of consciousness.",yes,"This is an empirical research article with original data collection and analysis, including a functional MRI study comparing TBI patients with healthy controls.",yes,"The study uses fMRI/BOLD data to analyze brain connectivity and activity patterns, specifically employing resting state functional connectivity analyses and Granger Causality Analyses on empirical neural data.",maybe,"The study uses Granger Causality Analysis, which is a complexity-family measure that analyzes directional connectivity between brain regions. However, this appears to be the only complexity measure used, and it's applied more as a connectivity analysis tool rather than a primary complexity analysis.",Include,"This empirical research study uses fMRI data to analyze brain connectivity in traumatic brain injury patients, employing Granger Causality Analysis as a complexity measure. However, the research does not investigate consciousness or conscious states, which disqualifies it from meeting the primary screening criterion focused on consciousness research. Despite methodological rigor, the study's focus on pain perception and brain connectivity patterns renders it unsuitable for a consciousness-oriented systematic review.",,,2.7
Glossopharyngeal Neuralgia Characterized by Otalgia: A Retrospective Study.,"Glossopharyngeal neuralgia (GPN) is an uncommon facial pain syndrome and is characterized by paroxysms of excruciating pain in the distributions of the auricular and pharyngeal branches of cranial nerves IX and X. Glossopharyngeal neuralgia characterized by otalgia alone is rare. Herein, the authors analyzed 2 patients with GPN with otalgia as the main clinical manifestation. The clinical features and prognosis of this rare group of patients with GPN were discussed. They both presented with paroxysmal pain in the external auditory meatus and preoperative magnetic resonance imaging suggested the vertebral artery were closely related to the glossopharyngeal nerves. In both patients, compression of the glossopharyngeal nerve was confirmed during microvascular decompression, and the symptoms were relieved immediately after surgery. At 11 to 15 months follow-up, there was no recurrence of pain. A variety of reasons can cause otalgia. The possibility of GPN is a clinical concern in patients with otalgia as the main complaint. The authors think the involvement of the glossopharyngeal nerve fibers in the tympanic plexus via Jacobson nerve may provide an important anatomic basis for GPN with predominant otalgia. Surface anesthesia test of the pharynx and preoperative magnetic resonance imaging is helpful for diagnosis. Microvascular decompression is effective in the treatment of GPN with predominant otalgia.","Fan H, Wang L, Xia S, Xu X, Su S, Feng W, Wu C, Lou C, Chen Y",,,The Journal of craniofacial surgery,,2023,no,"The paper does not investigate consciousness, states of consciousness, or transitions between conscious states. While pain perception involves consciousness, the paper does not explicitly interpret findings in relation to consciousness or neural signatures/mechanisms of consciousness. The focus is purely clinical and anatomical.",yes,"This appears to be an empirical research article presenting case studies of two patients. While it is an empirical study, it's a clinical case report rather than a systematic review or meta-analysis. However, this criterion is technically met as it is an empirical research article.",no,"The only neural data mentioned is preoperative magnetic resonance imaging (MRI) to visualize anatomical relationships between the vertebral artery and glossopharyngeal nerves. This is structural imaging rather than functional neural data (EEG, MEG, fMRI/BOLD, etc.). The study does not analyze any of the specified types of neural recordings.",no,"The paper does not mention or apply any complexity-family measures. The analysis appears to be purely clinical and anatomical, focusing on symptoms, imaging, and surgical outcomes.",Exclude,"This clinical case report on glossopharyngeal neuralgia fails to meet the systematic review's screening criteria, particularly those related to consciousness research, neural data analysis, and complexity-family measures. The study is a clinical case report focused on a specific pain syndrome and its surgical treatment, which does not align with the review's requirements for investigating consciousness or applying advanced neural complexity analyses.",,Other / below screening threshold,0.1
[Intraventricular extravasation of contrast media through ruptured intracranial aneurysm--report of two cases (author's transl)].,"Extravasation of contrast media through ruptured intracranial aneurysm has been reported as an unusual case. Among the reported cases, a ventricular opacification is very rare, and in such cases, the prognosis is worst. In this paper, two cases with an aneurysm bleeding into the ventricular system were reported. Case 1. A 37-year-old woman was admitted because of severe headache and disturbance of consciousness. On admission, she was deeply comatose with decerebrate rigidity. Carotid angiogram taken 2 hours and 30 minutes after the attack revealed an aneurysm of the anterior communicating artery and an extravasation of contrast media into the lateral ventricle. Although a continuous ventricular drainage was instituted immediately, the patient died after five days. Case 2. A 33-year-old man suddenly developed severe headache with subsequent loss of consciousness. Two hours after the onset, the patient was admitted in comatose state. Angiography taken 3 hours after the attack demonstrated an aneurysm of the anterior communicating artery. The posterior horns of the lateral ventricles were opacificated. The patient died after 24 hours. In case 1, it was interesting that a remarkable stenosis of the cisternal portion of the internal carotid artery was demonstrated at the 2nd carotid angiography (lateral view), but the third carotid angiography taken after the continuous ventricular drainage showed a complete recovery from the stenosis. This stenosis was supposed to be caused by a compression of the internal carotid artery against the interclinoid ligamentum. Moreover, a rapid enlargement of the aneurysm was noticed by repeated angiography.","Kamiyama K, Sakamato T, Suzuki J, Onuma T",,,No shinkei geka. Neurological surgery,,1978,no,"The paper discusses cases involving disturbance of consciousness and coma, but these are clinical observations rather than research into consciousness itself. While consciousness states are mentioned, they are not the focus of investigation - rather, they are symptoms of the medical condition being studied. The paper does not explicitly interpret findings in relation to consciousness mechanisms.",maybe,"This appears to be an empirical research article presenting two clinical case studies. While it is an empirical paper, it's primarily a clinical case report rather than a systematic research investigation into consciousness or neural mechanisms.",no,"The paper does not analyze any neural data. The only imaging mentioned is carotid angiography, which is a vascular imaging technique, not a neural recording method. There is no EEG, MEG, fMRI, or other neural data analysis.",no,"The paper does not apply any complexity-family measures. The analysis is purely clinical and radiological, focusing on anatomical findings and clinical outcomes.",Exclude,"This clinical case report fails to meet the screening criteria for consciousness research, as it does not systematically investigate consciousness mechanisms, analyze neural data, or apply complexity measures. While the paper mentions consciousness as a clinical symptom, it is fundamentally a medical case study focused on aneurysm rupture rather than a neuroscience research investigation.",,Other / below screening threshold,0.1
Acute-onset paraplegia as an unexpected complication under general anesthesia in supine position during abdominal endovascular aneurysm repair: a case report.,"BACKGROUND: Acute onset paraplegia after endovascular aneurysm repair (EVAR) is a rare but well-known complication. We here show a 79-year-old woman with paraplegia caused by static and dynamic spinal cord insult not by ischemia after EVAR. CASE PRESENTATION: The patient underwent EVAR for abdominal aortic aneurism under general anesthesia in the supine position. She had a medical history of lumbar canal stenosis. After the surgery, we recognized severe paraplegia and sensory disorder of lower limbs. Although the possibility of spinal cord ischemia was considered at that time, postoperative magnetic resonance imaging (MRI) revealed burst fracture of vertebra and compressed spinal cord. CONCLUSIONS: Patients with spinal canal stenosis can cause extrinsic spinal cord injury even with weak external forces. Thus, even after EVAR, it is important to consider extrinsic factors as the cause of paraplegia.","Morio A, Miyoshi H, Saeki N, Toyota Y, Tsutsumi YM",,,JA clinical reports,,2021,no,"The paper does not investigate consciousness, states of consciousness, or transitions between conscious states. It also does not explicitly interpret findings in relation to consciousness or neural signatures/mechanisms of consciousness.",no,"The paper is a case report rather than an empirical research article, systematic review, or meta-analysis.",no,"The paper mentions MRI imaging, but this is used for diagnostic purposes rather than analyzing neural data. There is no analysis of EEG, MEG, fMRI/BOLD, or other neural recordings.",no,The paper does not mention or apply any complexity-family measures. It focuses on clinical diagnosis and case presentation rather than quantitative analysis of neural complexity.,Exclude,"This clinical case report fails to meet the screening criteria for consciousness research, lacking investigation of consciousness mechanisms, neural data analysis, or complexity measures. The paper is a straightforward medical case presentation about paraplegia following surgery, without any empirical neural research components or systematic review methodology. Consequently, it does not qualify for inclusion based on the specified screening requirements.",,Other / below screening threshold,0.1
Bedside quantitative electroencephalography improves assessment of consciousness in comatose subarachnoid hemorrhage patients.,"OBJECTIVE: Accurate behavioral assessments of consciousness carry tremendous significance in guiding management, but are extremely challenging in acutely brain-injured patients. We evaluated whether electroencephalography (EEG) and multimodality monitoring parameters may facilitate assessment of consciousness in patients with subarachnoid hemorrhage. METHODS: A retrospective analysis was performed of 83 consecutively treated adults with subarachnoid hemorrhage. All patients were initially comatose and had invasive brain monitoring placed. Behavioral assessments were performed during daily interruption of sedation and categorized into 3 groups based on their best examination as (1) comatose, (2) arousable (eye opening or attending toward a stimulus), and (3) aware (command following). EEG features included spectral power and complexity measures. Comparisons were made using bootstrapping methods and partial least squares regression. RESULTS: We identified 389 artifact-free EEG clips following behavioral assessments. Increasing central gamma, posterior alpha, and diffuse theta-delta oscillations differentiated patients who were arousable from those in coma. Command following was characterized by a further increase in central gamma and posterior alpha, as well as an increase in alpha permutation entropy. These EEG features together with basic neurological examinations (eg, pupillary light reflex) contributed heavily to a linear model predicting behavioral state, whereas brain physiology measures (eg, brain oxygenation), structural injury, and clinical course added less. INTERPRETATION: EEG measures of behavioral states provide distinctive signatures that complement behavioral assessments of patients with subarachnoid hemorrhage shortly after the injury. Our data support the hypothesis that impaired connectivity of cortex with both central thalamus and basal forebrain underlies decreasing levels of consciousness. Ann Neurol 2016;80:541-553.","Claassen J, Velazquez A, Meyers E, Witsch J, Falo MC, Park S, Agarwal S, Michael Schmidt J, Schiff ND, Sitt JD, Naccache L, Sander Connolly E, Frey HP",,,Annals of neurology,,2016,yes,"The paper directly investigates consciousness in patients with subarachnoid hemorrhage, specifically examining different states of consciousness (comatose, arousable, and aware). The study explicitly interprets findings in relation to consciousness and neural mechanisms underlying different conscious states.",yes,This is clearly an empirical research article with original data analysis. It presents a retrospective analysis of 83 patients with specific methodology and results.,yes,"The study analyzes empirical EEG data, including spectral power and complexity measures. They specifically mention analyzing 389 artifact-free EEG clips, making this a clear case of empirical neural data analysis.",yes,"The paper explicitly mentions using spectral power analysis, complexity measures, permutation entropy (specifically mentioned for alpha band), and bootstrapping methods and partial least squares regression for analysis.",Include,"This empirical research study comprehensively investigates consciousness states in subarachnoid hemorrhage patients using EEG data, applying multiple quantitative complexity measures to analyze neural signatures across different levels of consciousness. The work systematically examines neural mechanisms underlying conscious states through rigorous empirical analysis, including spectral power, complexity measures, and permutation entropy, providing a robust scientific approach to understanding consciousness transitions.",,,4.9
Spontaneous spinal epidural haematoma. A case report.,"Spinal epidural haematomas are infrequent events caused mainly by trauma or are iatrogenic following invasive spinal procedures (lumbar puncture, surgery or peridural anaesthesia). Spontaneous spinal epidural haematoma is a rare entity requiring emergency intervention in most cases. The incidence is estimated at about two to six cases per year. Early recognition, accurate diagnosis and rapid treatment may result in decreased morbidity and improved outcome. Here, we describe the case of a 60-year-old man who presented sudden paraplegia. Magnetic resonance imaging of thoracolumbar spine demonstrated an epidural mass extending from T11 to L1, causing spinal cord compression. Emergent decompressive surgery was performed and the patient had a significant improvement of neurologic deficits.","Rispoli R, Mastrostefano R",,,The neuroradiology journal,,2010,no,"The paper does not investigate consciousness, states of consciousness, or transitions between conscious states. It focuses on a clinical case of spinal epidural hematoma and its surgical treatment, without explicitly addressing consciousness or neural mechanisms of consciousness.",no,"The paper is a case report, which is not explicitly listed as an eligible study type. While it contains empirical observations, it is not a systematic review, meta-analysis, or primary research article with controlled experimental conditions.",no,"The only neural data mentioned is MRI imaging of the spine, which is used for diagnostic purposes rather than analyzing neural activity or function. There is no analysis of EEG, MEG, fMRI/BOLD, or other neural recordings as specified in the criteria.",no,"The paper does not mention or apply any of the specified complexity-family measures. The analysis appears to be purely clinical and anatomical, focusing on the physical presence and location of the hematoma.",Exclude,"This clinical case report fails to meet the screening criteria for consciousness research, lacking investigation of conscious states, neural data analysis, or complexity measures. The paper describes a spinal epidural hematoma case with MRI imaging, but does not engage with the specified research parameters related to consciousness or neural complexity. Consequently, the study does not qualify for inclusion in the systematic review.",,Other / below screening threshold,0.1
