Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Consciousness Research Context,"Reasoning for ""Consciousness Research Context""",Eligible Study Type,"Reasoning for ""Eligible Study Type""",Empirical Neural Data Application,"Reasoning for ""Empirical Neural Data Application""",Quantitative Complexity-Family Measures Applied,"Reasoning for ""Quantitative Complexity-Family Measures Applied""",Screening judgement,"Reasoning for ""Screening judgement""",Excluded by strict criterion,Exclusion reason,Screening score
Percutaneous aspiration of lumbar zygapophyseal joint synovial cyst under fluoroscopic guidance -A case report-.,"A 51-year-old man with a 1-month history of lower back pain and radiating pain visited to our pain clinic. A magnetic resonance imaging (MRI) scan demonstrated a cyst like mass at the level of the L4-5 interspace and compression of the thecal sac and the nerve root on the right side. We performed percutaneous needle aspiration of the lumbar zygapophyseal joint synovial cyst under fluoroscopic guidance. The patient felt an immediate relief of symptoms after the aspiration, and had no signs or symptoms of recurrence at the follow-up 6 months later. No demonstrable lesion was found in the 6 months follow-up MRI.","Shin KM, Kim MS, Ko KM, Jang JS, Kang SS, Hong SJ",,,Korean journal of anesthesiology,,2012,no,"The paper does not investigate consciousness, states of consciousness, or transitions between conscious states. It also does not explicitly interpret findings in relation to consciousness or neural signatures/mechanisms of consciousness. The focus is entirely on a specific medical condition and its treatment.",no,"While this is an empirical research article (a case report), it is not the type of empirical research that would be relevant for this systematic review. Case reports are typically considered lower-level evidence and this one doesn't align with the review's focus.",no,"The only imaging mentioned is MRI, which is used for anatomical assessment of the cyst and nerve compression. There is no analysis of neural data (EEG, MEG, fMRI/BOLD, etc.) or any other type of neural recordings mentioned in the abstract.",no,There is no mention or application of any complexity-family measures. The paper appears to focus on clinical outcomes (pain relief) and anatomical imaging findings.,Exclude,"This clinical case report about a patient with lower back pain fails to meet the screening criteria for consciousness research, as it does not investigate consciousness, analyze neural data, or apply complexity measures. The paper is a straightforward medical case report focused on a specific anatomical condition and its treatment, with no relevance to the systematic review's requirements.",,Other / below screening threshold,0.1
Brain dynamic organization at the acute stage of severe brain injury,"Acute Disorders of consciousness (DoC) poses significant clinical challenges, including early and accurate prognostication of neurological outcomes. Current assessment tools are limited in their predictive power, leaving many patients in a ""gray zone"" of uncertainty. While acute DoC are traditionally associated with structural brain damage, emerging evidence suggests that they are primarily driven by a withdrawal of excitatory synaptic activity across key cortical and subcortical regions, which can be captured through the dynamic analysis of resting-state brain activity. This study investigates the temporal dynamics of brain connectivity, shortly after severe brain injury (average of 13.9 days from onset), hypothesizing that acute DoC is marked by a global reorganization of functional connectivity and a shift toward less informative brain states, with distinct patterns emerging based on the underlying injury mechanism. Using functional magnetic resonance imaging (fMRI), we identify six distinct brain states across severely brain injured patients and healthy controls. These states, when sorted by decreasing entropy, span a continuum from state 1, characterized by high entropy, widespread positive long-distance coordination, and high global connectivity, predominantly observed in healthy controls, to state 6, which exhibits low entropy and minimal functional connectivity, and is predominantly associated with acute DoC. We demonstrate that the probability of occurrence of the more complex brain state correlates with improved neurological recovery at 3 months, as assessed by the Coma Recovery Scale-Revised (CRS-R). Hence, we were able to train a classifier based on brain state dynamics that achieved an accuracy of 78.5% in predicting patients' recovery potential (AUC = 0.864). Overall, our findings suggest that dynamic brain connectivity, particularly the entropy of brain states, can be a reliable early predictor of recovery from acute DoC, bridging the divide between theoretical advances and bedside medical decision-making.","Gabriel Della Bella, B. Sarton, Giulia Maria Mattia, Patrice Péran, Walter Lamberti, P. Barttfeld, Stein Silva",10.1016/j.neuroimage.2025.121657,https://doi.org/10.1016/j.neuroimage.2025.121657,NeuroImage,,2025,yes,"The paper directly investigates disorders of consciousness (DoC), which is explicitly mentioned as a key area of interest in the screening criteria. The study focuses on acute DoC and transitions between different states of consciousness, examining how brain connectivity patterns relate to different levels of consciousness.",yes,"This is clearly an empirical research article presenting original data analysis using fMRI. The paper includes specific methodological details, results, and quantitative findings (e.g., classifier accuracy of 78.5%, AUC = 0.864).",yes,The study explicitly uses fMRI data to analyze resting-state brain activity and functional connectivity. The analysis is performed on empirical neural data from both patients and healthy controls.,yes,"The study explicitly applies entropy measures to analyze brain states, which is specifically mentioned in the screening criteria as a complexity-family measure. The paper uses entropy as a primary analysis tool to characterize different brain states and their relationship to consciousness levels.",Include,"This empirical research article comprehensively investigates disorders of consciousness using fMRI, analyzing neural data through complexity measures like entropy to characterize brain states. The study meets all screening criteria by providing quantitative insights into consciousness transitions, employing empirical neural data analysis, and applying complexity-family measures to understand neurological recovery potential.",,,4.9
Pathological theta oscillations in idiopathic generalised epilepsy.,"OBJECTIVE: To investigate spectral power, inter- and intra-hemispheric coherence in the interictal scalp electroencephalography (EEG) of 41 patients with idiopathic generalised epilepsy. METHODS: Two minutes of eyes-closed waking interictal EEG activity was analysed. Fast Fourier transformation was performed. Raw and age-regressed, Z-transformed values were computed for 19 electrodes and 4 frequency bands: absolute power (AP, ZAP), percent power (RP, ZRP), band mean frequency (MF, ZMF), inter-hemispheric (CO, ZCO) and intra-hemispheric (IC, ZIC) coherence. Compressed values (scalp averages) were computed for each parameter and 4 frequency bands. Compressed data of the patients (GE group) and the healthy controls (C group) were compared. RESULTS: ZAP across the entire 1.5-25.0 Hz range was greater in the GE than in the C group. Delta and theta ZRP was greater, alpha ZRP was less in GE than in C. ZMF and ZIC was about the same in the GE and C groups. The crucial, band-specific finding was significantly greater theta-ZCO in the GE group, in contrast to normal or decreased ZCO in the other bands. In addition, within-group correlation between ZAP of the frequency bands, correlation of ZAP and ZCO, correlation of ZIC and ZCO were different for the two groups. CONCLUSIONS: The pattern of enhanced ZAP, ZRP, ZCO, together with normal ZIC and ZMF in the theta range was a peculiar, novel finding in GE. It was incompatible with any of the known patterns of altered power and coherence due to lesional or metabolic aetiology. This pattern presumably indicates the presence of a powerful, diffuse, hypersynchronous, hypercoherent theta oscillation at the thalamo-cortical level of the brain. The role of inter-hemispheric connections in maintaining this oscillation was suggested. The other findings suggest disturbed central regulation of EEG power and coherence in the interictal state.",Clemens B,,,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,,2004,no,"The paper focuses on interictal EEG in epilepsy patients, which is not directly investigating consciousness or conscious states. While epilepsy can affect consciousness during seizures, this study specifically looks at interictal (between seizures) activity during wakefulness. The findings are interpreted in terms of thalamo-cortical oscillations and neural connectivity, but not explicitly in relation to consciousness mechanisms.",yes,This is clearly an empirical research article with original data analysis of EEG recordings from 41 patients and control subjects. The study includes detailed methodology and quantitative results.,yes,"The study directly analyzes empirical neural data through EEG recordings, including spectral power analysis, coherence measurements, and various frequency band analyses.",no,"While the study uses quantitative measures (spectral power, coherence), these are not specifically complexity-family measures as defined in the criteria. The measures used (AP, RP, MF, CO, IC) are more basic spectral and coherence analyses rather than complexity measures like entropy, information theory measures, or criticality measures.",Include,"This empirical neuroscience study analyzing EEG data from epilepsy patients meets criteria for being an original research article with neural data analysis. However, it does not investigate consciousness directly nor apply complexity-family measures, falling short of the specific screening requirements for consciousness research. The study's focus on spectral power and coherence in interictal EEG recordings provides valuable neurological insights but does not align with the systematic review's targeted research parameters.",,,2.5
Acas-eer: attention-based CNN architecture search with spatial-spectral feature for emotional EEG recognition.,"Electroencephalogram (EEG)-based analysis of emotional states is important for health assessment, emotion monitoring, and treatment support. Accurate EEG emotion recognition depends on both rich emotional features and well-designed recognition models. While deep learning can automatically extract features and classify data effectively, it often fails to produce diverse emotional EEG features, and manually designing network structures is time-consuming. Neural architecture search (NAS) helps find the best network design and reduces manual effort. In this work, we propose an attention-based convolutional neural network (CNN) architecture search method using spatial-spectral features for EEG emotion recognition, called ACAS-EER. It is optimized to better match emotional EEG characteristics. Firstly, differential entropy (DE) and power spectral density (PSD) were combined to create EEG feature maps, providing more spatial and spectral information. Secondly, a search space with four lightweight attention modules was designed. The final architecture, found automatically, includes convolution, pooling, and multiple attention modules. Also, an operation-level Dropout method was used to avoid poor performance caused by too many parameterless operations. On the DEAP dataset, ACAS-EER achieved high average accuracy and F1 scores (97.40% and 97.33% for valence; 97.68% and 97.35% for arousal). It performed better than most hand-designed deep learning models and other NAS models.","Qiao Y, Zhao Q",,,Cognitive neurodynamics,,2026,maybe,"The paper focuses on emotion recognition from EEG data, which is related to but not directly focused on consciousness research. While emotional states are aspects of conscious experience, the paper doesn't explicitly investigate consciousness or its neural mechanisms. The focus is more on developing a technical method for emotion classification.",yes,This is clearly an empirical research article presenting original research with concrete results and methodology. The paper describes a specific implementation and testing of a new approach (ACAS-EER) with quantitative results.,yes,"The study directly analyzes empirical EEG data from the DEAP dataset, which is a well-known EEG dataset for emotion recognition. The analysis includes both spatial and spectral features of EEG data.",no,"While the paper uses differential entropy (DE) as part of its feature extraction, this appears to be used as a preprocessing step rather than as a primary analysis of complexity. The main focus is on developing a neural architecture search method for emotion classification, not on analyzing complexity measures. The entropy measure is used to create feature maps rather than to study complexity properties of the neural signals.",Include,"An empirical research article analyzing EEG data for emotion recognition, demonstrating strong methodological rigor in neural data application and study design. While the study uses neural data and presents original research, its connection to consciousness research is peripheral, and the primary focus is on technical emotion classification rather than exploring consciousness mechanisms. The paper partially meets consciousness research criteria but lacks a direct, comprehensive investigation of conscious states or neural complexity measures.",,,3.1
Basal forebrain contributes to default mode network regulation.,"The default mode network (DMN) is a collection of cortical brain regions that is active during states of rest or quiet wakefulness in humans and other mammalian species. A pertinent characteristic of the DMN is a suppression of local field potential gamma activity during cognitive task performance as well as during engagement with external sensory stimuli. Conversely, gamma activity is elevated in the DMN during rest. Here, we document that the rat basal forebrain (BF) exhibits the same pattern of responses, namely pronounced gamma oscillations during quiet wakefulness in the home cage and suppression of this activity during active exploration of an unfamiliar environment. We show that gamma oscillations are localized to the BF and that gamma-band activity in the BF has a directional influence on a hub of the rat DMN, the anterior cingulate cortex, during DMN-dominated brain states. The BF is well known as an ascending, activating, neuromodulatory system involved in wake-sleep regulation, memory formation, and regulation of sensory information processing. Our findings suggest a hitherto undocumented role of the BF as a subcortical node of the DMN, which we speculate may be important for switching between internally and externally directed brain states. We discuss potential BF projection circuits that could underlie its role in DMN regulation and highlight that certain BF nuclei may provide potential target regions for up- or down-regulation of DMN activity that might prove useful for treatment of DMN dysfunction in conditions such as epilepsy or major depressive disorder.","Nair J, Klaassen AL, Arato J, Vyssotski AL, Harvey M, Rainer G",,,Proceedings of the National Academy of Sciences of the United States of America,,2018,maybe,"The paper investigates states of consciousness, specifically quiet wakefulness and active exploration states, and their neural correlates. It examines transitions between internally-directed (rest) and externally-directed (active exploration) brain states. While not explicitly focused on consciousness theory, it studies neural mechanisms related to conscious state transitions and default mode network activity, which are closely tied to consciousness research.",yes,This appears to be an empirical research article presenting original experimental findings about basal forebrain activity and its relationship to the default mode network. The abstract describes specific experimental results and measurements.,yes,"The study analyzes empirical neural data, specifically local field potential (LFP) recordings, including gamma oscillations. The abstract explicitly mentions measuring gamma-band activity and directional influences between brain regions.",no,"While the study analyzes neural oscillations and directional influences (which might involve some complexity measures), the abstract doesn't explicitly mention any specific complexity-family measures from the list provided in the criteria. The analysis appears to focus more on basic oscillatory activity and directional influences rather than explicit complexity measures.",Include,"This empirical research article investigates neural mechanisms of consciousness by examining transitions between brain states using local field potential recordings, with a focus on basal forebrain and default mode network interactions. While the study provides robust neural data and explores conscious state transitions, it lacks explicit application of complexity-family measures, which creates uncertainty about full alignment with the screening criteria.",,,3.5
Frontal-temporal synchronization of EEG signals quantified by order patterns cross recurrence analysis during propofol anesthesia.,"Characterizing brain dynamics during anesthesia is a main current challenge in anesthesia study. Several single channel electroencephalogram (EEG)-based commercial monitors like the Bispectral index (BIS) have suggested to examine EEG signal. But, the BIS index has obtained numerous critiques. In this study, we evaluate the concentration-dependent effect of the propofol on long-range frontal-temporal synchronization of EEG signals collected from eight subjects during a controlled induction and recovery design. We used order patterns cross recurrence plot and provide an index named order pattern laminarity (OPL) to assess changes in neuronal synchronization as the mechanism forming the foundation of conscious perception. The prediction probability of 0.9 and 0.84 for OPL and BIS specified that the OPL index correlated more strongly with effect-site propofol concentration. Also, our new index makes faster reaction to transients in EEG recordings based on pharmacokinetic and pharmacodynamic model parameters and demonstrates less variability at the point of loss of consciousness (standard deviation of 0.04 for OPL compared with 0.09 for BIS index). The result show that the OPL index can estimate anesthetic state of patient more efficiently than the BIS index in lightly sedated state with more tolerant of artifacts.","Shalbaf R, Behnam H, Sleigh JW, Steyn-Ross DA, Steyn-Ross ML",,,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,,2015,yes,"The paper directly investigates consciousness transitions during anesthesia, specifically focusing on the loss of consciousness during propofol administration. The study explicitly examines ""neuronal synchronization as the mechanism forming the foundation of conscious perception"" and monitors transitions between conscious states.",yes,This is clearly an empirical research article with original data collection and analysis from eight subjects. It presents new experimental results and comparisons with existing measures (BIS).,yes,"The study directly analyzes EEG data, which is explicitly mentioned as one of the eligible neural recording methods. The analysis includes both frontal and temporal EEG channels, examining their synchronization patterns.",yes,"The study applies order patterns cross recurrence plot analysis and introduces a new measure (OPL - order pattern laminarity) to assess neuronal synchronization. While not explicitly listed in the examples, recurrence plot analysis is a recognized complexity measure that quantifies pattern complexity in time series data.",Include,"This empirical research study directly investigates consciousness transitions during anesthesia by analyzing EEG data using novel complexity measures, specifically examining neuronal synchronization mechanisms underlying conscious perception. The work meets all screening criteria through its quantitative analysis of neural data, focus on consciousness states, and application of advanced complexity-family measures to understand anesthetic-induced changes in brain dynamics.",,,4.9
Neural net classification of REM sleep based on spectral measures as compared to nonlinear measures.,"In various studies the implementation of nonlinear and nonconventional measures has significantly improved EEG (electroencephalogram) analyses as compared to using conventional parameters alone. A neural network algorithm well approved in our laboratory for the automatic recognition of rapid eye movement (REM) sleep was investigated in this regard. Originally based on a broad range of spectral power inputs, we additionally supplied the nonlinear measures of the largest Lyapunov exponent and correlation dimension as well as the nonconventional stochastic measures of spectral entropy and entropy of amplitudes. No improvement in the detection of REM sleep could be achieved by the inclusion of the new measures. The accuracy of the classification was significantly worse, however, when supplied with these variables alone. In view of results demonstrating the efficiency of nonconventional measures in EEG analysis, the benefit appears to depend on the nature of the problem.","Grözinger M, Fell J, Röschke J",,,Biological cybernetics,,2001,yes,"The paper focuses on REM sleep detection using EEG analysis, which is a state of consciousness. The study explicitly deals with transitions between sleep states, which meets the criterion of investigating consciousness or states of consciousness.",yes,"The paper appears to be an empirical research article that presents original analysis of EEG data using neural networks and various complexity measures. It is not a commentary or theoretical paper, which meets the criterion of being an empirical research article.",yes,"The study directly analyzes EEG data, which is explicitly mentioned as one of the acceptable neural recording methods. The analysis includes both conventional and nonconventional measures applied to empirical EEG data, which meets the criterion of analyzing empirical neural data.",yes,"The paper explicitly applies several complexity-family measures, including the largest Lyapunov exponent, correlation dimension, spectral entropy, and entropy of amplitudes. These are all quantitative complexity measures applied as primary analyses to the empirical data, which meets the criterion of applying quantitative complexity-family measures.",Include,"This study investigates REM sleep detection using EEG analysis, employing multiple complexity measures including Lyapunov exponent, correlation dimension, and spectral entropy. The research represents an empirical neural data analysis that directly applies quantitative complexity-family measures to explore transitions between conscious states, meeting all specified screening criteria.",,,4.9
Spectral entropy in monitoring anesthetic depth.,"Monitoring the brain response to hypnotics in general anesthesia, with the nociceptive and hemodynamic stimulus interaction, has been a subject of intense investigation for many years. Nowadays, monitors of depth of anesthesia are based in processed electroencephalogram by different algorithms, some of them unknown, to obtain a simplified numeric parameter approximate to brain activity state in each moment. In this review we evaluate if spectral entropy suitably reflects the brain electric behavior in response to hypnotics and the different intensity nociceptive stimulus effect during a surgical procedure.","Escontrela Rodríguez B, Gago Martínez A, Merino Julián I, Martínez Ruiz A",,,Revista espanola de anestesiologia y reanimacion,,2016,yes,"The paper explicitly focuses on consciousness-related states, specifically general anesthesia and depth of anesthesia monitoring, which directly relates to states of consciousness and transitions between them.",maybe,"The abstract indicates this is a review paper, and while it's not explicitly stated whether it's systematic, it appears to be a structured review of how spectral entropy relates to brain responses during anesthesia.",yes,"The paper focuses on processed electroencephalogram (EEG) data, which is a primary neural recording method. The review specifically examines how spectral entropy (a quantitative measure) is applied to EEG data during anesthesia.",yes,"The paper explicitly focuses on spectral entropy, which is a complexity-family measure. Spectral entropy is used to analyze brain electrical behavior in response to anesthetics and nociceptive stimuli.",Include,"This review systematically examines spectral entropy's application to brain electrical responses during general anesthesia, focusing on consciousness states and neural complexity measures. By analyzing EEG data and exploring how entropy reflects brain behavior under anesthetic conditions, the study meets key criteria for consciousness research involving empirical neural data and quantitative complexity-family measures.",,,4.6
Topological Reorganization and Resting-State Functional Connectivity in Functional Dyspepsia: Associations of Symptoms with Peripheral Cytokine Levels and Amygdala Nodal Centrality.,"Functional dyspepsia (FD) is a symptom-based disorder of gut-brain interactions, causing epigastric pain or discomfort, with immune activation presumed to play a key role. Peripheral cytokines contribute to hyperalgesia and are thought to be related to the severity of FD symptoms, while brain functional networks are also involved in these symptoms, although the mechanisms underlying these relationships remain unclear. This study aims to investigate the topological reorganization of brain functional networks in FD and their associations with peripheral cytokines, FD symptoms, anxiety, and depression. Resting-state functional magnetic resonance imaging was conducted on 40 FD patients and 40 healthy controls, assessing topological changes using small-world properties, network efficiency, nodal centrality, and whole-brain functional connectivity. FD patients had higher anxiety and depression scores than healthy controls, along with greater global efficiency, local efficiency, and clustering coefficient. They also had higher nodal centralities in the salience network (SN) and prefrontal cortex, but lower nodal centralities in the default mode network (DMN). Specifically, the nodal local efficiency of the right amygdala correlated with clinical symptom scores in FD. Whole-brain functional disconnection was found in the DMN, SN and sensorimotor network (SMN). FD patients also exhibited higher peripheral cytokines, particularly tumor necrosis factor-α (TNF-α) and interleukin-10 (IL-10), which were positively correlated with gastrointestinal symptoms. In conclusion, FD patients showed significant topological reorganization in the DMN, SN, and SMN. Furthermore, the right amygdala's nodal local efficiency was correlated with clinical symptom severity, and elevated TNF-α and IL-10 levels were associated with gastrointestinal symptom severity in FD.","Chi J, Zhang C, He Y, Lu Y, Yao X, Jin Y, Ding N, Ji Y, Hu C",,,Molecular neurobiology,,2025,no,"The paper does not explicitly investigate consciousness or states of consciousness. While it studies brain functional networks and their relationship to symptoms, these are not directly related to consciousness mechanisms or states. The focus is on functional dyspepsia and its relationship to brain networks and cytokines, and the study does not interpret findings in relation to consciousness or its neural signatures.",yes,"The paper is clearly an empirical research article with original data collection and analysis. It includes 40 FD patients and 40 healthy controls, with clear methodology and results.",yes,"The study uses resting-state functional magnetic resonance imaging (fMRI) to analyze brain functional networks, which is a valid form of empirical neural data analysis.",maybe,"The study applies several quantitative measures to analyze brain networks, including small-world properties, network efficiency, nodal centrality, whole-brain functional connectivity, local efficiency, and clustering coefficient. While these are quantitative measures of network properties, they don't strictly fall into the ""complexity-family measures"" specified in the criteria, as they are more focused on network topology and connectivity rather than complexity measures like entropy, information theory, or criticality measures.",Include,"This empirical research study uses fMRI to analyze brain functional networks in functional dyspepsia patients, but does not investigate consciousness or apply complexity-family measures as specified in the screening criteria. While the paper provides a rigorous neural data analysis, it lacks direct relevance to consciousness research and does not employ the specific quantitative complexity measures required for inclusion.",,,2.5
Burst suppression: a default brain state associated with loss of network complexity.,"Burst suppression (BS) is a highly stereotyped EEG pattern observed across a wide range of clinical contexts, from general anesthesia and postanoxic coma to neonatal encephalopathy. Despite its consistent appearance, BS comprises two distinct forms with markedly different implications. BS with identical bursts (IBS) is almost exclusively seen in patients with severe, irreversible encephalopathy and is consistently associated with poor neurological outcome. In contrast, heterogeneous BS (HBS) can appear in reversible conditions such as anesthesia. The mechanisms that give rise to these divergent forms remain elusive. Existing theories impose disease-specific processes on otherwise healthy networks, but such models fail to explain why BS emerges across diverse etiologies and disregard the clinically critical distinction between IBS and HBS. We combined clinical, experimental, and computational approaches to identify shared mechanisms underlying BS. We analyzed EEG recordings from patients with a severe postanoxic encephalopathy (n = 33) and from patients undergoing general anesthesia (n = 10). These clinical observations were compared with activity recordings from human induced pluripotent stem cell-derived neuronal networks (n = 29) and rodent cortical cultures (n = 10), and simulations of biophysically grounded neuronal network models. Purely excitatory, low-complexity networks, both in vitro and in silico, spontaneously generated activity virtually indistinguishable from pathological IBS. Introducing inhibitory neurons, modular network structure, or diverse external inputs progressively increased signal complexity and produced HBS-like or continuous activity resembling physiological EEG. Our findings suggest that BS, and particularly IBS, reflects a default dynamic state of simplified excitatory networks that emerges when biological complexity is lost. Different clinical conditions may compromise distinct mechanisms-inhibition, connectivity, or afferent input-yet converge on the same underlying activity pattern. While IBS reflects near-complete loss of complexity, HBS indicates partial preservation. This unified framework explains how diverse etiologies converge on BS and highlights identical forms as signatures of severely reduced network complexity.","Doorn N, Hassink GC, Frega M, van Putten MJAM",,,Brain : a journal of neurology,,2026,yes,"The paper strongly investigates consciousness, states of consciousness, and transitions between conscious states, such as wakefulness, sleep, anesthesia, and disorders of consciousness. It explicitly interprets findings in relation to neural mechanisms of consciousness.",yes,"The paper is an empirical research article that combines clinical observations, experimental recordings, and computational approaches. It includes original data analysis from multiple sources, including patient EEG recordings, stem cell-derived networks, and rodent cortical cultures.",yes,"The paper analyzes multiple types of empirical neural data, including clinical EEG recordings from patients, activity recordings from human induced pluripotent stem cell-derived neuronal networks, and rodent cortical cultures.",maybe,"The paper appears to use quantitative measures to assess signal complexity, network complexity, default dynamic states, and network structure, though the specific complexity measures are not detailed in the abstract.",Include,"This study comprehensively investigates neural complexity across consciousness states through empirical analysis of EEG recordings, stem cell networks, and computational models. By examining burst suppression patterns in clinical and experimental contexts, the research provides a nuanced exploration of neural network dynamics that underpin transitions between conscious states. The work systematically applies quantitative approaches to understand how different clinical conditions converge on similar neural activity patterns, with a strong focus on complexity and network mechanisms.",,,4.7
